method,run_pair,pairwise_ARI
Seurat,run6_vs_run32,0.952361636249774
Seurat,run6_vs_run33,0.998601253148603
Seurat,run6_vs_run34,0.997739986486507
Seurat,run6_vs_run35,0.998179843694053
Seurat,run6_vs_run36,0.997739986486507
Seurat,run6_vs_run37,0.99957869547608
Seurat,run6_vs_run38,1
Seurat,run6_vs_run39,0.99957869547608
Seurat,run6_vs_run40,0.997694850386276
Seurat,run6_vs_run41,0.99957869547608
Seurat,run6_vs_run42,0.99957869547608
Seurat,run6_vs_run43,0.994903194598185
Seurat,run6_vs_run44,1
Seurat,run6_vs_run45,1
Seurat,run6_vs_run46,0.935499343424471
Seurat,run6_vs_run47,1
Seurat,run6_vs_run48,1
Seurat,run6_vs_run49,0.998179843694053
Seurat,run6_vs_run50,0.999092868119835
Seurat,run6_vs_run51,0.998179843694053
Seurat,run6_vs_run52,0.998601253148603
Seurat,run6_vs_run53,0.99957869547608
Seurat,run6_vs_run54,1
Seurat,run6_vs_run55,0.998601253148603
Seurat,run6_vs_run56,0.951817760899438
Seurat,run6_vs_run57,0.99957869547608
Seurat,run6_vs_run58,0.997739986486507
Seurat,run6_vs_run59,0.94940757154925
Seurat,run6_vs_run60,0.998601253148603
Seurat,run6_vs_run61,0.951459196154137
Seurat,run6_vs_run62,0.99592434607097
Seurat,run6_vs_run63,0.950438946219212
Seurat,run6_vs_run64,1
Seurat,run6_vs_run65,0.998601253148603
Seurat,run6_vs_run66,0.997739986486507
Seurat,run6_vs_run67,0.99671576990057
Seurat,run6_vs_run68,0.998601253148603
Seurat,run6_vs_run69,0.998601253148603
Seurat,run6_vs_run70,0.994901803767524
Seurat,run6_vs_run71,0.976085323008222
Seurat,run6_vs_run72,1
Seurat,run6_vs_run73,0.945703430936466
Seurat,run6_vs_run74,0.998179843694053
Seurat,run6_vs_run75,0.950983218725675
Seurat,run6_vs_run76,1
Seurat,run6_vs_run77,0.950438946219212
Seurat,run6_vs_run78,0.997739986486507
Seurat,run6_vs_run79,0.942097806947699
Seurat,run6_vs_run80,0.99957869547608
Seurat,run6_vs_run81,0.99957869547608
Seurat,run6_vs_run82,0.998601253148603
Seurat,run6_vs_run83,0.997739986486507
Seurat,run6_vs_run84,0.99957869547608
Seurat,run6_vs_run85,0.998601253148603
Seurat,run6_vs_run86,0.99957869547608
Seurat,run6_vs_run87,0.950983218725675
Seurat,run6_vs_run88,0.998179843694053
